Aa,Ad,Ba,Bd,s1,s2,p
0,1,2,2,0,0,0.10738629362594145
0,1,2,2,0,1,0.12799304390567248
0,1,2,2,0,2,0.09028102048402098
0,1,2,2,0,3,0.06163422075432174
0,1,2,2,1,0,0.08911351512267014
0,1,2,2,1,1,0.13503640518833512
0,1,2,2,1,2,0.09695078670399557
0,1,2,2,1,3,0.06232062796337099
0,1,2,2,2,0,0.03660200384553903
0,1,2,2,2,1,0.06021352463049314
0,1,2,2,2,2,0.046621143509428496
0,1,2,2,2,3,0.03216122113482567
0,1,2,2,3,0,0.011648611190253823
0,1,2,2,3,1,0.019267558363826646
0,1,2,2,3,2,0.01673464090754381
0,1,2,2,3,3,0.006035382669760938
0,1,2,3,0,0,0.11839225441091306
0,1,2,3,0,1,0.1522540417381596
0,1,2,3,0,2,0.10926639842859426
0,1,2,3,0,3,0.08031147567299188
0,1,2,3,1,0,0.07830026563614818
0,1,2,3,1,1,0.1278725613852726
0,1,2,3,1,2,0.09396498882583881
0,1,2,3,1,3,0.06961612286211151
0,1,2,3,2,0,0.027965932725368677
0,1,2,3,2,1,0.045540370556822474
0,1,2,3,2,2,0.03644366196722673
0,1,2,3,2,3,0.028288969535705207
0,1,2,3,3,0,0.006622765897479655
0,1,2,3,3,1,0.011336878358424007
0,1,2,3,3,2,0.00995016225785177
0,1,2,3,3,3,0.0038731497410916123
0,1,3,0,0,0,0.058503584530607854
0,1,3,0,0,1,0.07757418220347707
0,1,3,0,0,2,0.06580649969873346
0,1,3,0,0,3,0.05405043481863559
0,1,3,0,1,0,0.07442614387494395
0,1,3,0,1,1,0.12049418108941347
0,1,3,0,1,2,0.10238930057284953
0,1,3,0,1,3,0.06939654763639572
0,1,3,0,2,0,0.03717220647287482
0,1,3,0,2,1,0.07968968244436303
0,1,3,0,2,2,0.07544729897299178
0,1,3,0,2,3,0.059290731850352586
0,1,3,0,3,0,0.021935550756878263
0,1,3,0,3,1,0.04150133441327749
0,1,3,0,3,2,0.04474636509972463
0,1,3,0,3,3,0.01757595556448074
0,1,3,1,0,0,0.06878619530228243
0,1,3,1,0,1,0.09841109035716163
0,1,3,1,0,2,0.08493825508001865
0,1,3,1,0,3,0.07511025966695364
0,1,3,1,1,0,0.06974122213701849
0,1,3,1,1,1,0.12168497183217189
0,1,3,1,1,2,0.10583119018866194
0,1,3,1,1,3,0.08267234416939548
0,1,3,1,2,0,0.030289155306353
0,1,3,1,2,1,0.06427602066419867
